tweet_id,tweets,sensitive,source,retweet_count,reply_count,like_count,quote_count,impression_count
1618981539026710529, greatlakes   odds are there werent many       gt      dollar ones  and the     dollar ones turn into about        ticket   and then you have ridiculous other seats like the ones posted for a d roster team       is over priced      is over priced          is overpriced ,False,,1,1,0,0,45
1618981353810452480,  i would hate to see this for the mls and sporting kc  but peter vermes is the guy   let him go run it and then don t meddle in his process ,False,,1,0,0,0,60
1618980969322782721,    how many of those folks did she hire earnie pre dated her for sure  no,False,,0,1,0,0,13
1618980927669170177,    i have better things to do then watch a bunch of elitists  lose another match ,False,,0,0,0,0,7
1618980569769193472,  the yanks abroad weekend look ahead return of die    bundesliga plus  fa cup  th round and all of the usual league action     usmnt watch   friday  january      saturday  january      january     amp      the spreadsheet     ,False,,0,0,3,0,640
1618980292722835458, i m sure usmnt twitter will pay great attention to the last sentence ,False,,0,0,0,0,192
1618979919543017472,   point is this guy is posting       tickets like us soccer decided that   i saw         face value sideline day of game before ticketmaster fees,False,,0,1,0,0,27
1618979779184828421,     literally every single one of your points is inaccurate     there was no blackmail  we seen both sides to the story     the introduction of gregg s domestic violence occurred after the world cup     gio didnt  literally quit  the team but acted immature as a   yo,False,,0,0,0,0,10
1618979777926275073,unpacking u s  soccer s  clean canvas  and what it means moving forward   via    ,False,,0,1,3,0,368
1618979640722313216,good morning everybody here is episode    of rambling runoff  robetalks about nfl playoffs  who s on the move in the mlb  the warm up  usmnt january camp  and the rundown listen on your preferred platform or press the stitcher link below ,False,,0,0,0,0,8
1618979432454324227, aclarke    no but seriously  anyone got their tickets yet     ,False,,0,0,1,0,284
1618979082187988993, could be right but for sure some usmnt soccer jerseys from   s would give it a run,False,,0,0,0,0,7
1618978365435965442,well i for one was definitely tricked more than a few times this window with transfer rumors from less than reputable sources  haji to the prem and johnny to serie a both actually got me  but where has that been recently have you fallen for a  transfer rumor this window,False,,1,4,0,0,618
1618977480089702400,us soccer is rebooting the usmnt again ,False,,0,0,0,0,8
1618977190603010048,   its a mess,False,,0,0,0,0,8
1618976808803905537, dlt usmnt  is he still on that pomykal train,False,,0,1,0,0,80
1618976331676659713, thoughts berhalter still under consideration pending investigation,False,,0,0,0,0,21
1618975785985150976,today s newsletter    rip billy packer   conf champ weekend is here      what s up with usmnt   nathaniel hackett to jets  aaron rodgers next    frank reich to panthers   nba asg starters  snubs  ,False,,0,0,0,0,187
